"subtopics","paper","conf","year","status","topic"
"8","1570282185","13","2016","2","1"
"8","93757","5","2012","2","1"
"8","134539","9","2015","1","1"
"8","1570163815","10","2015","1","1"
"8","62520","1","2010","1","1"
"8","88535","4","2011","1","1"
"8","149661","12","2016","1","1"
"8","101176","6","2012","2","1"
"8","1570205747","11","2015","1","1"
"8","134647","9","2015","1","1"
"8","93377","5","2012","2","1"
"8","150467","12","2016","1","1"
"8","134541","9","2015","1","1"
"8","108743","7","2013","1","1"
"8","134445","9","2015","1","1"
"8","106473","6","2012","1","1"
"8","108823","7","2013","1","1"
"8","137487","9","2015","1","1"
"8","1570206455","11","2015","1","1"
"8","137461","9","2015","1","1"
"8","94076","5","2012","2","1"
"8","150172","12","2016","1","1"
"8","134386","9","2015","1","1"
"8","84215","4","2011","2","1"
"8","150133","12","2016","1","1"
"8","150506","12","2016","2","1"
"8","163857","14","2017","1","1"
"8","80813","3","2011","1","1"
"8","163966","14","2017","1","1"
"8","121640","8","2014","2","1"
"8","149632","12","2016","2","1"
"8","163852","14","2017","1","1"
"8","1570283452","13","2016","1","1"
"8","137486","9","2015","1","1"
"8","1570287870","13","2016","1","1"
"8","164195","14","2017","1","1"
"8","62330","1","2010","2","1"
"8","121932","8","2014","1","1"
"8","107362","7","2013","1","1"
"8","163940","14","2017","2","1"
"8","108137","6","2012","1","1"
"8","137408","9","2015","1","1"
"8","150073","12","2016","2","1"
"8","163933","14","2017","1","1"
"8","137513","9","2015","1","1"
"8","163823","14","2017","1","1"
"8","1570291023","13","2016","2","1"
"8","150168","12","2016","1","1"
"8","108707","7","2013","2","1"
"8","85610","4","2011","2","1"
"8","61131","1","2010","1","1"
"8","1570169283","10","2015","2","1"
"8","1570287662","13","2016","2","1"
"8","62522","1","2010","1","1"
"8","1570287772","13","2016","2","1"
"8","106396","6","2012","1","1"
"8","121348","8","2014","2","1"
"8","163956","14","2017","1","1"
"8","150434","12","2016","1","1"
"8","163937","14","2017","1","1"
"8","149583","12","2016","1","1"
"8","163788","14","2017","1","1"
"8","164170","14","2017","2","1"
"8","163965","14","2017","1","1"
"8","149613","12","2016","2","1"
"8","1570160515","10","2015","1","1"
"8","150500","12","2016","2","1"
